Class,Probability,RA,Dec,BP-RP,G,Parallax,Absolute Magnitude,Source ID
CV,Known Variable,289.20455840353964,-26.24269025337558,0.6973963,15.251659,2.1846300357318698,6.948548501625334,6769204324939596672
CV,Known Variable,294.64945316338793,-46.215976566688994,1.0485268,16.807348,5.327462924169278,10.43995017988547,6684490840966796928
CV,Known Variable,318.921253202551,-58.68178727115081,0.89243126,17.290257,4.217880249502435,10.415728227279832,6453536224527716224
CV,Known Variable,299.2982055205022,-57.63969351541584,0.78417397,18.764406,3.519716929146918,11.496944685213276,6447773336193467520
CV,Known Variable,302.2328523128919,-65.46206257650644,1.0614662,17.931871,1.5773501524267246,8.921511560451568,6427690176495592960
CV,Known Variable,319.7080429385965,-64.42039014895859,0.19999123,14.721916,1.534009138917114,5.651055734731861,6401799112903799168
CV,Known Variable,325.572404455066,-67.80036065285002,1.1392231,16.553028,2.2325671514002403,8.297050652571075,6397189827017123072
CV,Known Variable,329.9771964413118,-68.84361913004906,0.8625965,16.978504,3.090100150999971,9.428366776285651,6396170751536790016
CV,Known Variable,229.98025197894387,-25.00673233228796,0.16799927,16.473705,8.845682686489797,11.207361781216868,6226943645600487552
CV,Known Variable,193.1003174469929,-29.24875402703625,0.41600323,13.246317,17.571594551552845,9.470372868807877,6185040879503491584
CV,Known Variable,195.1210452091761,-30.88244520134729,1.0534058,18.686968,2.725629369116556,10.864302000906935,6184077776037155072
CV,Known Variable,202.9745836307912,-29.683097847590947,0.772377,18.34634,3.0557172237005576,10.771905810597085,6175970630128957568
CV,Known Variable,138.19170827415067,-3.821306656961674,0.5019684,17.818138,1.517330602501142,8.723539085209284,5759752908615824128
CV,Known Variable,134.83257639249547,-24.48203791091042,0.76624775,15.419346,4.029128989359587,8.445401856016568,5652773897568243072
CV,Known Variable,91.12849259574264,-71.42272286620083,0.90975,18.505943,1.8169484154825324,9.80265598769784,5278321915508032256
CV,Known Variable,58.54292721882824,-16.881016613677012,0.33905602,17.345802,3.1287237876909733,9.822638120658135,5107845936158224768
CV,Known Variable,62.85730432913309,-15.39001101920761,0.34973145,19.228998,2.70428559879979,11.389260777015448,5097770801875122432
CV,Known Variable,66.4798375280787,-19.758615256299507,-0.02227974,19.817945,2.715082218174532,11.986859927191304,5092046675621447552
CV,Known Variable,66.17151609108389,-20.12003306900644,0.16440392,11.75165,5.332597883928711,5.3863441800165655,5091939988633728640
