Class,Probability,RA,Dec,BP-RP,G,Parallax,Absolute Magnitude,Source ID
Eclipsing Binary,0.6,14.167415643648187,55.483077920521,1.5530205,17.69935,4.38968484122367,10.911516705275822,423457627625176192
CV,0.9983333333333332,12.2562861924581,56.87866843759875,0.9946537,18.063965,2.707066401083156,10.226459543112464,423864245075612416
CV,0.985,294.8435507774995,66.89658655290378,0.5565796,19.243423,1.0799818548341966,9.410505294047796,2248871921597696256
Subdwarf,0.7833333333333333,294.8854846828995,67.58946528556712,-0.32534122,14.800949,0.705266155306071,4.042714215930149,2248962562587900032
CV,0.575,297.25575939550504,67.50155413383202,0.022094727,18.02672,1.3528950173214107,8.683040486436187,2249098833310553728
CV,0.605,43.90872625452659,-22.7841796423204,0.31957245,17.160236,4.921864601154703,10.620884311177493,5078976609103251456
ZZ Ceti,0.91,298.9928163092951,68.45974769532745,0.010101318,18.45461,4.953094112099902,11.928992899731949,2250747615418035712
CV,0.7916666666666666,57.96448286458459,-26.04893118998421,1.0332661,17.366137,1.6335850603007789,8.431845764940295,5082671719789935616
CV,0.8,52.06627911729098,61.42150813677828,0.48076248,18.221724,4.059723717330351,11.264206394337142,462713869228951424
CV,0.5183333333333333,267.5485497686546,-16.45781317930265,3.0482807,19.357697,8.050119368916995,13.886708601142203,4147857244412628352
CV,0.855,31.992999408476063,48.57537037719286,0.24722958,13.809433,2.3056358213195947,5.62338655451253,358062837831128064
CV,0.9983333333333332,329.8160699008543,61.0890078877504,0.8243084,18.96557,2.219366381113585,10.696715015354156,2203244624288543744
CV,0.9883333333333332,330.9876277831873,61.53886511240264,1.7090015,18.390034,2.3288769672934264,10.22576672855376,2203373473312011008
CV,0.83,116.52854871082134,-21.543089892692468,0.44674492,16.794903,0.6070011856730042,5.71085069698041,5712185733507082240
CV,0.8233333333333334,119.03777311115996,-20.84170527935293,0.113082886,16.283728,0.4727100221147887,4.656702050260174,5712447314192763648
CV,0.6633333333333333,121.00806002244954,-21.30887671766816,0.37242126,17.000807,1.879045255021143,8.37049319898396,5712922371936446080
CV,0.9983333333333332,334.6231444665586,39.81041389017215,0.74975777,17.854582,1.017225224810348,7.891667605631367,1956939627235448704
Subdwarf,0.8133333333333334,305.77353902624355,16.81498472124551,-0.23837471,15.743784,0.700046820887008,4.9694194384488135,1808931377726170368
CV,0.9583333333333334,304.7302971493771,16.610965963109173,0.27309704,16.180809,0.7725371489790712,5.620405862547175,1809050880897877888
CV,0.835,293.7115854741145,37.37667399140037,0.12667465,19.638813,3.0136912805922487,12.034306807905228,2051970241137323008
CV,0.995,292.6716745116124,40.87362357175317,0.48324585,15.46111,1.297609710140678,6.026830433737132,2053553885771329280
CV,0.8416666666666667,18.17688519751041,58.46590399979441,0.90200424,17.974312,2.746114057057237,10.167904856276966,414071753997318272
